CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1
CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1
Metropolitan Statistical Area
GeoFips,GeoName,LineCode,Description,2022
11700,"Asheville, NC (Metropolitan Statistical Area)",1,All industry total,26228006
11700,"Asheville, NC (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",64190
11700,"Asheville, NC (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",(D)
11700,"Asheville, NC (Metropolitan Statistical Area)",10,"    Utilities",425201
11700,"Asheville, NC (Metropolitan Statistical Area)",11,"    Construction",1421793
11700,"Asheville, NC (Metropolitan Statistical Area)",12,"    Manufacturing",3481275
11700,"Asheville, NC (Metropolitan Statistical Area)",34,"    Wholesale trade",(D)
11700,"Asheville, NC (Metropolitan Statistical Area)",35,"    Retail trade",2238184
11700,"Asheville, NC (Metropolitan Statistical Area)",36,"    Transportation and warehousing",(D)
11700,"Asheville, NC (Metropolitan Statistical Area)",45,"    Information",487582
11700,"Asheville, NC (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",5336691
11700,"Asheville, NC (Metropolitan Statistical Area)",59,"    Professional and business services",2443530
11700,"Asheville, NC (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",3226803
11700,"Asheville, NC (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",1859242
11700,"Asheville, NC (Metropolitan Statistical Area)",82,"    Other services (except government and government enterprises)",838213
11700,"Asheville, NC (Metropolitan Statistical Area)",83,Government and government enterprises,2749783
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",1,All industry total,12628127
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",391379
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",(D)
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",10,"    Utilities",68685
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",11,"    Construction",647182
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",12,"    Manufacturing",1278326
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",34,"    Wholesale trade",857719
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",35,"    Retail trade",839279
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",36,"    Transportation and warehousing",191646
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",45,"    Information",110855
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",(D)
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",59,"    Professional and business services",832383
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",1377606
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",513056
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",82,"    Other services (except government and government enterprises)",(D)
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",83,Government and government enterprises,2599863
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",1,All industry total,525888412
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",660554
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",(D)
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",10,"    Utilities",(D)
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",11,"    Construction",26047168
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",12,"    Manufacturing",35510651
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",34,"    Wholesale trade",44977505
