"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
Metropolitan Statistical Area
GeoFips,GeoName,2013-2023
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",1.8
19140,"Dalton, GA (Metropolitan Statistical Area)",0.2
19180,"Danville, IL (Metropolitan Statistical Area)",-1.1
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",2.6
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",-0.2
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",0.1
19460,"Decatur, AL (Metropolitan Statistical Area)",0.3
19500,"Decatur, IL (Metropolitan Statistical Area)",-0.9
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",1.9
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",1.1
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",1.4
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",0.0
20020,"Dothan, AL (Metropolitan Statistical Area)",0.4
20100,"Dover, DE (Metropolitan Statistical Area)",1.2
20220,"Dubuque, IA (Metropolitan Statistical Area)",0.2
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",0.0
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",1.3
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",0.0
20740,"Eau Claire, WI (Metropolitan Statistical Area)",0.5
20940,"El Centro, CA (Metropolitan Statistical Area)",0.2
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",0.3
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",0.3
21300,"Elmira, NY (Metropolitan Statistical Area)",-0.9
21340,"El Paso, TX (Metropolitan Statistical Area)",0.4
21420,"Enid, OK (Metropolitan Statistical Area)",-0.1
21500,"Erie, PA (Metropolitan Statistical Area)",-0.5
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",0.7
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",0.0
21820,"Fairbanks, AK (Metropolitan Statistical Area)",-0.6
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",1.6
22140,"Farmington, NM (Metropolitan Statistical Area)",-0.7
22180,"Fayetteville, NC (Metropolitan Statistical Area)",0.5
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",2.3
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",0.5
22420,"Flint, MI (Metropolitan Statistical Area)",-0.4
22500,"Florence, SC (Metropolitan Statistical Area)",-0.2
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",0.5
