"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
Metropolitan Statistical Area
GeoFips,GeoName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",759874,777652,786842,790951,801240,806250,817389,828889,840643,850344,858633,862076,861973,858219,859337,863666,869074,872990,879812,882893,886556,891067,901517,911803,923335,934428,944372,952500,960026,968885,976656,982704,988718,993201,1001781,1009575,1017818,1030584,1039561,1049266,1057924,1062299,1066967,1072868,1080550,1086106,1092150,1097647,1102770,1107463,1112118,1116638,1117014,1116348,1119562
13900,"Bismarck, ND (Metropolitan Statistical Area)",63153,63474,64359,65363,67396,69160,71634,74201,76261,77840,80547,82690,83333,84582,86386,87741,87927,87741,86699,86285,86247,86329,87112,88603,90124,91123,92442,93781,94705,95784,96321,96917,97253,98254,99128,100134,101858,103713,105648,107210,109009,111206,113327,116539,120508,123850,127462,129785,131140,131811,132775,133785,134406,134963,135786
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",104229,105279,108059,110811,114478,118956,121908,123619,126002,128476,129849,130226,131772,132202,132324,133483,134236,135376,136318,138426,139471,141184,141780,142774,143594,144923,145498,146082,146943,149066,150727,151553,153348,153326,154009,154647,156402,158277,160085,161247,162385,163115,163343,163956,165000,165353,165333,166139,166007,166780,166737,166286,165703,165660,165749
14010,"Bloomington, IL (Metropolitan Statistical Area)",102599,105073,107920,113024,114221,114945,114040,115432,116848,117535,118173,119354,119963,120379,121622,122295,122918,122638,124317,126021,127624,129715,132200,134198,136831,138613,140945,142363,144342,146526,149135,150844,152713,155882,157795,159096,160299,162925,165223,166825,168727,169808,170902,172693,174985,174031,173055,172957,172536,172103,170976,170949,171109,170918,170441
14020,"Bloomington, IN (Metropolitan Statistical Area)",94038,97656,99712,103553,104311,106218,103965,105944,109821,112226,113041,115057,116537,117520,118037,117945,118146,119043,120497,122111,124856,126773,127983,130131,132395,134678,136275,137794,139271,140527,141770,142709,143650,144707,146835,148549,150096,152548,154352,156164,157840,159950,160810,161197,160817,161248,161138,161893,161864,161733,161687,160903,161690,161108,160874
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",71469,71882,73233,74511,75213,76162,76926,77069,77452,77789,78394,78787,79211,79223,79674,79135,78679,78729,78718,79446,80226,81113,81669,82381,82802,82801,83012,83013,82914,82623,82449,82211,82592,82838,83240,83511,83718,83996,84303,84735,85385,85652,85441,85462,85584,85531,84973,84379,83855,83405,83150,82817,83070,83343,83299
14260,"Boise City, ID (Metropolitan Statistical Area)",188662,192885,202549,211579,219916,230081,236798,246322,255984,267147,275953,281376,285918,289363,292391,297051,301145,302755,303727,306455,312962,322316,335378,347646,364123,380160,395382,409471,422797,438421,452837,469017,486078,499994,512491,525975,546980,570583,590330,603218,611341,617891,627764,637590,649437,662904,674981,691695,710044,729282,749581,770223,797026,811355,824657
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",3885892,3928508,3953760,3980347,3982918,3969705,3953504,3946719,3947472,3944294,3942625,3946114,3966836,3977211,4006648,4038686,4071845,4088650,4104797,4125293,4139484,4137302,4128150,4137692,4163698,4189180,4230795,4265564,4302696,4337751,4369743,4401256,4432132,4440034,4434723,4424956,4418046,4427356,4447838,4483141,4527220,4567869,4617467,4670666,4723453,4774046,4812312,4849741,4889220,4912542,4932771,4933650,4906460,4903026,4919179
14500,"Boulder, CO (Metropolitan Statistical Area) *",129577,133342,140808,151309,159509,166449,166670,169117,178121,183432,187125,190935,195705,200827,206440,211206,213942,215971,218024,219915,223507,226374,232846,240430,247405,254324,259520,264630,270744,277562,285901,293358,300137,279468,278768,279728,280241,284243,287428,290859,293190,295131,300434,305430,310586,313911,320154,323865,325475,328259,329194,330938,327084,327339,326831
14540,"Bowling Green, KY (Metropolitan Statistical Area)",87103,89652,93520,95307,95464,96904,98351,100546,102335,104207,105640,107557,109593,114875,116854,113805,113170,112523,112227,112325,112679,114270,115583,117502,120327,122686,125345,127749,130090,132238,133747,135367,136901,138510,140921,143044,145918,149324,151710,154513,156978,159333,160929,162341,164495,166417,169252,171804,174654,176436,178450,180070,182603,185996,188840
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",101363,101617,101606,102225,112257,111965,119117,120976,125902,132640,140733,148762,154907,155059,160515,161742,163546,164293,169760,178929,182461,191879,199636,209562,211262,214422,223391,226584,229403,228878,229393,232720,234513,238129,239758,241960,239806,245054,244105,246912,248800,251762,254685,255017,253403,254705,260904,265159,268681,271938,274963,275823,276589,277813,277658
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",780867,792934,792758,788034,786524,788324,794554,797444,810423,802642,802656,808703,813186,817943,821854,825107,830396,831797,828277,826605,827517,828860,833094,834372,838945,842482,848057,854421,861020,868651,877043,884364,889063,892900,896342,897472,897653,896254,897498,903824,910421,919702,929775,938339,944612,950338,952518,953669,954050,956852,957097,953891,961771,961923,963780
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",138947,141196,147753,157489,166939,172211,182806,189415,194722,198941,205544,211944,220184,230718,238878,242355,245894,250996,253714,254410,256512,261728,269261,277322,288297,297316,304928,312086,318281,324556,330277,336123,342368,350194,358492,366299,373429,380169,386306,393000,400303,407541,412772,415102,416219,417498,417572,419104,419418,419064,419958,421480,422636,424911,426710
15260,"Brunswick, GA (Metropolitan Statistical Area)",63379,64102,65809,67537,68446,67760,66301,66832,68260,68464,70289,71952,72718,73627,74420,75513,76517,77877,79049,80269,81414,82437,83303,84259,85624,86487,87522,88541,90027,91160,92420,93344,95052,96612,98180,99879,101532,104715,107334,109579,111343,112378,112178,112026,111984,112260,112915,113230,113753,113781,113629,113511,113959,114538,116074
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",1344024,1351513,1354743,1347603,1333861,1318687,1312980,1303095,1289794,1276092,1263570,1241275,1232720,1223579,1210449,1197531,1191856,1184555,1179756,1181174,1185954,1190943,1194992,1198490,1200744,1200479,1197885,1194167,1186175,1178462,1173102,1169060,1165067,1161678,1159918,1156070,1148563,1141712,1137678,1136364,1135377,1136632,1140622,1143708,1148113,1152225,1154153,1155397,1159165,1163185,1165340,1164468,1164631,1158890,1155604
15500,"Burlington, NC (Metropolitan Statistical Area)",96050,96843,98499,99740,99940,99272,98243,98721,98505,98540,99048,99532,100083,101000,101559,101706,102524,103515,105072,106327,107425,108695,110762,112825,114678,116788,118796,121263,123877,126232,128743,131423,133346,135239,136009,137619,139311,141462,144712,147704,149954,151452,152782,153421,154381,155658,157367,160663,163671,166901,169590,171960,173968,176618,179165
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",130602,134673,137553,140585,140865,141657,143608,145209,147509,149023,151554,155430,157017,158663,160287,161724,163751,165834,167755,171477,174979,177757,179447,181178,183909,187186,189300,191043,193040,194691,197026,199600,201361,203052,204201,205652,206637,207426,208232,209332,210435,211648,213820,215032,216378,217712,219701,220494,222432,223841,224648,225717,227196,227566,227942
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",46838,47840,50127,50805,49928,51667,52738,53724,54522,56744,58541,60176,61182,61697,62450,63245,64618,66570,69083,71785,74130,76361,77952,78815,77994,78737,79222,80633,83165,84967,85627,86498,87455,89819,92333,94900,96871,98849,100599,101921,103273,105758,107518,108717,109094,109745,110772,111500,112174,112427,113172,113999,114650,114783,115281
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",391478,394389,396830,394589,404798,406348,402470,400573,401304,404117,402887,404365,403233,401616,399727,399131,396527,393569,392135,393752,394481,394606,397025,399399,402098,403612,404924,405915,406235,406189,406983,406887,406256,406039,406046,405960,405168,405343,405939,406140,405127,404317,403896,404461,404867,405644,404863,403961,402666,402202,401805,401224,400492,399471,399474
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",99376,107430,116946,127672,137276,146825,154905,159632,173998,182920,192597,208050,218795,230932,241554,255299,267107,280483,295262,306842,322253,339012,351069,359679,368938,380928,391823,400723,410841,421889,431981,444311,461037,478889,497662,522431,555029,582678,604716,610984,612297,619982,628655,639773,653285,668448,688440,708970,723989,735249,749512,765547,790888,822391,834573
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",70905,70436,71899,73647,73297,74588,74605,76817,77598,78829,79941,81562,82038,81576,81546,81732,82211,82368,82524,82775,82734,83037,83892,85118,85803,86267,87084,87975,88270,88682,90016,90527,91226,91694,91840,92734,93173,94167,94616,95031,95634,96458,97003,97251,97250,97502,97470,97330,97058,97249,97193,97552,97743,98303,98223
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",109844,111942,114352,116113,115162,115944,119299,123226,125206,125985,127835,128383,130453,130280,130778,130139,130992,130792,131172,130569,130245,130094,130041,131336,132350,133285,133889,134097,134438,134607,134280,133748,134061,133540,134761,135744,136697,137483,137511,137950,138497,139349,139675,138209,139360,138740,138289,137319,135866,134976,133935,133323,132959,132412,132173
16180,"Carson City, NV (Metropolitan Statistical Area)",15528,16041,18439,19991,22158,23808,25484,26094,27331,29972,31782,32323,33475,34324,34654,35260,36389,37086,37403,38379,39657,40714,41926,43231,44572,46108,47768,49290,50463,50864,51953,52568,53472,54503,55234,55995,55982,55410,55288,55552,55401,55044,54992,54878,54531,55150,55439,55866,56491,57370,58260,58686,58764,58065,58036
16220,"Casper, WY (Metropolitan Statistical Area)",50779,51381,52121,53106,52814,53504,56088,58567,61526,65515,68354,72523,75042,77094,76292,73166,71569,69177,64552,62507,61722,61296,62312,63087,63981,65316,65687,65859,66311,66146,66282,66603,66978,67554,68246,69035,69922,70806,72365,73682,75238,75463,76361,78489,80978,81195,81894,80643,79190,78653,79183,80299,79635,79523,79941
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",203783,206165,207532,207990,206982,207881,210055,211491,210846,211033,211937,213666,212534,210374,208238,207969,206995,205865,205577,207415,209528,211200,213453,216818,219948,222711,226357,227938,230490,232402,235365,237950,240145,242099,243272,245108,247265,249524,252709,255503,256896,258511,261375,262537,263606,265477,267786,269939,272715,274409,275868,276621,276009,275631,275668
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",99529,101127,103082,103103,104285,106640,108052,110183,110218,111166,112172,113810,114302,114688,115293,116482,116882,117464,117819,118953,119780,121503,123039,124095,125056,126002,126479,126897,127696,128492,128875,129745,130604,131998,133583,135742,138927,142421,144840,147032,148662,149933,150989,151590,152107,152819,153297,154136,154962,155205,155814,155949,156573,156951,157854
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",176157,178800,180014,179585,183233,184061,182530,185536,187177,188020,184480,185490,187231,188079,186715,187144,187547,189193,189687,190188,188564,188891,191070,193825,190519,188635,188896,191162,192937,193235,195040,196428,198313,200414,203388,205080,207308,210526,213285,214286,216742,218190,219528,220485,221916,223099,224166,224840,224667,223868,222972,222335,223362,222844,222358
16620,"Charleston, WV (Metropolitan Statistical Area)",304197,303824,305473,306144,304424,303574,308748,311754,315639,318947,320992,322812,323232,321893,319711,316565,312026,307701,304351,298341,293891,290435,290435,291582,292148,291252,291561,291197,290266,288693,287226,285694,283588,282476,282146,281718,279823,278691,278207,277793,278370,277921,277361,277677,276823,275423,273071,270787,267206,263466,260828,258068,255300,252129,250458
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",333836,336669,345034,354123,362524,377614,388945,402464,407216,417483,425158,433615,445278,453298,460906,467325,469353,480947,490378,492783,502823,508851,523852,530382,531913,529376,522192,517970,528354,535674,546169,550916,556901,565179,573376,587231,598313,614463,628384,643613,655447,667147,679672,693984,707045,721173,738057,752834,765626,776775,789852,803475,814823,830352,849417
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",986767,1011955,1031374,1052081,1067459,1078395,1083225,1090448,1101205,1119946,1140515,1168323,1185227,1202085,1211827,1231696,1254725,1272319,1296549,1321246,1344353,1373345,1404496,1429067,1460199,1495064,1533653,1575674,1619972,1665276,1711905,1753958,1795029,1832361,1867238,1906396,1960753,2035838,2112817,2178593,2222773,2249938,2280323,2316865,2355919,2396711,2443016,2493738,2542910,2584646,2626694,2669651,2707454,2754657,2805115
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",100227,101224,102848,108206,111489,114500,119504,121254,122257,123463,125144,126303,128197,129201,130129,131176,133568,133555,136096,138612,141561,144984,147465,149981,153337,156024,158577,161576,164621,167916,171662,174979,177754,180442,182545,184817,188574,191972,194646,197853,200028,201949,203871,205979,207384,210010,212514,214974,217661,219086,220686,221620,223267,223996,225127
