CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
Metropolitan Statistical Area
GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
14020,"Bloomington, IN (Metropolitan Statistical Area)",5347251,5509728,5712833,5905617,6191243,6382690,6264263,6274739,6235885,6349737,6397739,6383644,6518398,6873996,6794290,6977313,7406889,7670488,7588407,7282855,7517075,7783998
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",3415504,3596930,3610691,3778495,3843532,4030123,4017632,4086191,4075714,4275092,4335246,4320047,4464177,4310881,4391896,4375448,4409987,4390928,4502269,4284974,4464452,4557086
14260,"Boise City, ID (Metropolitan Statistical Area)",19699982,20274256,21646904,23577997,25961390,25962054,26173846,27326632,26494982,26905197,26946598,26364634,27644961,28888826,29358516,30581561,32266790,34798490,36495225,37045260,40145338,42279241
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",304121153,303344189,310617795,321080660,329868936,339387182,351809312,355943706,353261018,371428587,379568248,389780969,392768811,400960432,416982922,424191410,433844401,451335935,467519922,460535204,492998949,504104614
14500,"Boulder, CO (Metropolitan Statistical Area) *",18415749,17260441,17553246,18101795,18559869,19086383,20382046,21221972,20845499,21408038,21612543,21752634,22533327,23287854,24200344,25039639,26255861,27218834,29675687,29149041,31164647,32366443
14540,"Bowling Green, KY (Metropolitan Statistical Area)",4835216,5004813,5231546,5490090,5822627,6120843,6125816,6190989,5728475,6313267,6189242,6453666,6615657,6733697,6779963,6939441,7184469,7130833,7484003,7421699,7933371,8338292
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",9212040,9705540,9889176,10354532,10785892,10765481,10858640,11374355,11130117,11157802,11111634,10975873,10917646,10985676,11350017,11929682,11972570,12262750,12396819,12734085,13081004,13211612
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",85296659,85271885,84914037,89609770,92292286,95983980,99200602,101069735,96945864,95238311,90338399,93325303,90243234,90936528,91961269,90009826,91838477,90874828,88934335,83855524,87235525,90361060
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",8128294,8515692,8674368,8802288,9029449,9442644,9430413,9503775,9480850,9927198,10223794,10333645,10549611,10590080,10614309,10836357,10734203,10950425,11200319,10912927,11660469,12032752
15260,"Brunswick, GA (Metropolitan Statistical Area)",3786951,3872418,4049410,4345701,4450784,4644837,4618695,4435937,4364371,4444057,4325649,4235781,4261271,4270651,4485880,4432946,4534646,4697516,4615626,4508473,4810326,4906786
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",54016453,55198517,55973868,57492255,57370297,58647019,59356447,59816938,60213737,62003528,61603181,63040986,63229311,64932966,66107305,66778507,66331075,66983121,68811628,66831543,69328962,71301164
15500,"Burlington, NC (Metropolitan Statistical Area)",5022664,5299144,5308562,5582859,5653108,5838344,5765984,5711693,5277459,5520634,5630872,5607349,5836303,5956943,5938900,6187138,6087842,6124774,6295903,6302066,6674694,6674713
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",9452158,9759967,10464148,11196582,11280972,11465521,11308140,11980455,11850497,12377653,12779330,12897769,12819219,13009711,13087175,13381268,13704166,13933008,14192895,13681245,14582139,15014095
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",4342288,4633565,4904456,5118038,5265546,5438480,5620250,5715630,5879472,6359768,6690343,6712723,6682245,6784200,6963774,7172852,7354343,7391917,7535678,7859546,7844387,7671853
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",15184796,15465896,15567727,15853497,16129343,15567379,15398331,15295497,14349844,15121959,16155804,15858495,17023754,18129940,18256475,17986995,18122356,17881022,18191600,17171476,18081547,18083356
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",18766789,20330567,22454444,25534982,27874663,29948499,30091017,27752844,25189572,24914093,24749142,25297777,25959728,27265713,28932150,31102740,31283529,32564768,33089321,33048241,35789303,37489983
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",3513296,3630423,3684522,3855365,4032642,4082764,4169507,4258519,4189204,4147945,4109581,4149193,4189951,4221733,4353292,4370665,4326578,4420708,4430209,4281206,4422321,4416653
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",4691845,4896456,4881070,4919666,5114522,5193665,5155613,5391524,5460901,5653006,5843131,5784598,5669285,5603514,5631998,5597734,5592572,5744517,5738902,5490804,5561229,5773378
16180,"Carson City, NV (Metropolitan Statistical Area)",3134840,3169654,3217106,3306261,3334301,3450874,3529347,3545000,3485886,3703702,3457603,3462453,3340332,3187634,3203642,3186662,3397457,3474293,3694536,3507173,3582260,3627950
16220,"Casper, WY (Metropolitan Statistical Area)",3304149,3384190,3488242,3737063,4037786,4597319,4701106,4840101,4503209,4745496,5031497,5665392,5901150,6388489,6263754,5663254,5594566,5920361,5678124,5070249,5001565,4988595
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",10951238,10840748,11743175,12861095,13437352,13552504,14918422,14859272,15151797,16111366,16684402,16571877,16357055,17070931,17755538,18301969,18322704,18657739,18307608,17878743,18846932,18854040
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",4322657,4222020,4537334,4919496,5370897,5694004,6013590,5980083,5584629,5579663,5598801,5540344,5700559,5822619,5984675,5839741,6302357,6400028,6238670,5947734,6101218,6162110
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",9145841,9601356,9615690,9819179,9836223,10029783,10258780,10657071,10547157,10981319,11119323,11106235,11658091,11909351,11949093,11661387,11567426,11476322,11607622,11410051,11817541,12084721
16620,"Charleston, WV (Metropolitan Statistical Area)",14242550,14286519,14363078,14275641,14726926,14926012,14982388,14900619,14946501,14580017,14618994,14085392,13735966,13501813,13156281,13018494,12811681,13532732,12864407,12063490,12391989,12566527
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",23572700,24638234,26149436,27724094,29565793,30518692,31962844,31992263,30903410,32421728,33997586,35933331,35991922,36993177,38721560,40907200,41712863,43397855,45108303,44302237,46532802,48651423
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",101222925,104002722,108377455,114974348,123864361,132670088,135000655,145052155,135234665,131210488,138181310,146537438,146136349,151007757,157396338,162168834,168119917,171575711,177257582,179456155,190503528,194261991
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",8778054,8878278,9210856,9656177,10131538,10542716,10899417,11181352,11128245,11763142,11852426,11984371,12041424,12175974,12537748,12712697,13408130,13679393,13743783,13188918,14344675,14820039
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",21833728,22245751,22960010,24107522,24582244,24827964,25118043,25217773,24300879,24880504,25682571,26602310,27206024,27168622,27949582,28558972,29616001,29878030,30328402,30203799,32135319,34002507
16940,"Cheyenne, WY (Metropolitan Statistical Area)",3767353,3911168,4121899,4333028,4419244,4653303,5191552,5696774,4920896,4985519,5176171,5312068,5246707,5331669,5507020,5376004,5428708,5727043,6009411,5664112,5986116,5846867
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",551911034,554209096,563001196,580916396,595469776,609831444,620077783,605115076,584067845,595377258,606776758,624494553,629809475,644468362,659877954,665040292,674568186,691185754,697333633,659808286,696359946,705658963
17020,"Chico, CA (Metropolitan Statistical Area)",6790163,7281711,7600395,7713220,7912397,8195172,8084613,7917794,8066507,8103725,8041960,7907486,8100816,7914931,8282989,8845128,9181452,9272932,9447628,8878582,9070391,9106972
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",109832849,112587274,115216965,117198258,120237922,120479131,121409072,121904655,116859995,120278386,123518572,125235332,127540311,132142681,135932807,140899281,145242197,145312363,152466652,149378970,155513292,157023758
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",8263148,8942389,9229360,9993639,10949558,11498477,11301570,11600054,11550147,12045793,12684426,12743275,12522853,12370941,12437179,12308003,12303121,12435834,12615947,12692257,13491471,13632128
17420,"Cleveland, TN (Metropolitan Statistical Area)",3549420,3718634,3755938,4008479,4026237,3964386,3988299,4056748,3985772,4167836,4215518,4706348,4819654,4759047,4816467,4661416,4678425,4720435,4722087,4866520,5103060,5189432
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",114463835,116285968,118858720,121914969,125214429,124589693,124922413,125191141,116449318,117254453,119114744,120368456,121728897,124569651,125505372,125683811,128644607,130644968,133967383,129098200,135547013,138260106
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",3750725,3835401,4008652,4317679,4713338,4920490,5139262,5153365,4770747,5013150,4878270,4934929,5405358,5524228,5585758,5857522,6045951,6422914,6575138,6883769,7661498,7948925
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",6703101,7023400,7289833,7421044,8027392,8663572,9443695,9850915,10695208,10179184,9985676,10103363,10884268,11569635,12289486,12258617,12461621,12996849,13580356,13563901,14174399,14510248
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",26101847,26255450,26567445,27117377,28546582,28970967,29869179,29770106,29841606,30632978,31471137,31704454,32363435,32668297,33030724,33678769,35086959,36241661,37712025,38854813,40926166,41331392
17860,"Columbia, MO (Metropolitan Statistical Area)",7349762,7485103,7728539,8013178,8231958,8333689,8323305,8570349,8503080,8696644,8842570,9100139,9451154,9487084,9687536,9721711,9957674,10019553,10422519,10111109,10610366,10611705
17900,"Columbia, SC (Metropolitan Statistical Area)",30185359,30704205,31782510,33212885,34218476,35519298,36587758,36713056,35702054,36058968,36130895,36106137,37251447,38595245,39706657,40874852,41010232,41651691,42416718,42243846,44430065,45542683
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",12291670,12629074,12594503,12835633,13126558,13411432,13864875,13887651,14031530,14310804,14540686,14722095,14512667,14495328,14585914,14420989,14601270,14626897,14869675,14714617,14919089,14452429
18020,"Columbus, IN (Metropolitan Statistical Area)",3899845,3791110,3974345,4278646,4554579,4967616,5565241,5885564,4810341,5859221,6024705,6611017,6960112,6640959,6413199,6294125,6366981,6845733,6780298,6283094,6538720,6996930
18140,"Columbus, OH (Metropolitan Statistical Area)",91416187,93076681,95310643,99025005,102541508,102640209,104227206,103866814,100474141,103348725,106909082,111289004,115365408,119473257,121933562,124495529,129945459,131537720,135606719,134047931,143197874,144464484
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",18292332,18160008,18850091,20196960,19163086,19675591,21097355,20157197,19886685,21222745,21969442,21984720,22501014,21229701,21064766,20490532,21073008,21758642,22343137,21358158,22092132,21041917
18700,"Corvallis, OR (Metropolitan Statistical Area)",2785489,2823850,2890420,3048306,3233480,3520119,3808903,3997328,3914041,4042530,4196951,4158939,3989140,3969709,4006029,4144658,4318847,4519396,4601570,4518078,4721965,4770134
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",9382486,10136130,11021744,12237434,13082402,13085395,13015555,12396503,11881750,11744257,11842267,12486295,12852260,13056837,13389903,13947876,14385761,14991042,15862463,16298081,17870178,18345980
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",3492843,3524946,3485989,3471026,3461665,3433097,3416257,3523566,3521182,3763788,3748061,3725688,3649533,3648530,3691446,3863895,3790007,3852561,3866718,3733268,3745774,3663150
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",288764447,297113282,302251065,320064343,336477893,361594853,376135049,379888574,368717622,377056747,391628362,404523386,419597444,435538151,456229575,466825711,483732021,506219605,525852321,519282910,560290164,592452179
19140,"Dalton, GA (Metropolitan Statistical Area)",5921261,6185362,6280080,7067721,7390944,7304930,7304060,6955253,6295644,6049846,6138230,6357545,6332818,6522496,6725058,6974782,6885582,6843613,6878107,6669749,7034767,7267848
19180,"Danville, IL (Metropolitan Statistical Area)",3000940,3104550,3198937,3329537,3278734,3408254,3396748,3397214,3217602,3215235,3258770,3322680,3352600,3311982,3252752,3204083,3203166,3211115,3200616,3045323,3155857,3225783
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",4470762,4699162,4987728,5488860,6091919,6264024,6447685,6230645,5926780,6012889,5930698,5998672,6314704,6455247,6757534,7113177,7382558,7758980,8148786,8102009,8738819,8924207
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",18045860,17928059,18476949,19577028,20070672,20128109,20420878,20931376,20051499,20788937,21575354,22296008,21727232,21808541,21494246,21344375,21554709,21409425,21587953,21147871,21649139,21598562
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",37866415,38889266,39784775,40849328,41264002,41010010,40189304,39390627,37154450,38087353,39110528,38960890,39332039,39837647,40365713,40942899,42546733,43183270,44585566,43928550,45492566,45837053
19460,"Decatur, AL (Metropolitan Statistical Area)",5261989,5201044,5633740,6356330,5970917,6041197,6253429,6074321,5967151,6062573,5810196,5838199,5888878,5951731,5868324,5970442,6090215,6217087,6171068,6296611,6432853,6596915
19500,"Decatur, IL (Metropolitan Statistical Area)",5995748,5993547,6074061,6267843,6386182,6477648,6626849,6944191,6939037,7044818,7207010,7089921,7732591,8026261,8271381,7735514,6950487,6752927,6477282,6303815,6870929,7020859
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",14567985,15746306,17062602,18664793,19232403,19845744,20268760,19223781,17891638,17896299,17716924,18087458,18194697,18750574,19225470,20048396,20582041,21185572,21617720,21845414,23013290,23588133
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",141710197,142187032,142460293,143624914,149942899,152563485,159423318,158853777,153864345,157506807,160637391,165465428,173288683,181126153,190646488,194781302,202210170,211192596,222301876,223271130,239402096,249653294
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",30638089,30982273,33659933,36883423,39672988,39263493,43479294,39249189,38775485,39526817,39753542,42270802,41396332,46593635,50565219,52510450,51811153,51930218,53815922,55169453,58996258,57782839
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",235602858,240796482,247570645,251004554,255496165,246974970,245300975,228556220,203866911,217989882,227588257,235803333,241779740,245150779,249282811,253977971,256207316,261548084,261186301,250060724,264723150,269531726
20020,"Dothan, AL (Metropolitan Statistical Area)",4998499,5228346,5309881,5492664,5608877,5701120,5706636,5554451,5372256,5378905,5363415,5451142,5710884,5807335,5952654,6249501,6355776,6409091,6541798,6593419,6848500,6715726
20100,"Dover, DE (Metropolitan Statistical Area)",6093023,6233227,6417318,7140541,7155882,7328201,7523257,7256045,7692168,7496283,7568530,7075683,7079534,7256299,7430423,7582401,7633026,7813320,8384005,8000617,8254518,8312232
20220,"Dubuque, IA (Metropolitan Statistical Area)",3855258,4029488,4227320,4702841,5026658,5156032,5407343,5180129,4858010,5259169,5245759,5982874,5657235,6160513,6276359,6100045,6389591,6378942,6624026,6772031,7048913,6866230
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",12253523,12700217,12888563,13587931,13779643,13588792,13279290,13688675,12957238,14437583,14920720,14242804,14702778,14577480,13289145,13651341,13554938,13868115,14152130,13420343,13889180,13820933
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",28804211,30201383,32012910,32654238,34913541,42727162,46088689,47789005,44318883,48092806,47239079,48043292,48743277,47803224,47012945,46676890,46431099,48726823,50043513,51328512,54380184,56136888
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",5097726,5267639,5383866,5832838,6259895,6581884,6992166,7069111,6852086,6960063,6855732,6699526,6791017,6848021,7128640,7235652,7597383,7669423,8263470,7897182,8360429,8325939
20740,"Eau Claire, WI (Metropolitan Statistical Area)",5636680,5915449,6191610,6509800,6970625,7079608,7312374,7138258,7067548,7480739,7674900,7968348,7991158,8639073,8851444,8802779,8949759,9144818,9337250,8846127,9138281,9188956
20940,"El Centro, CA (Metropolitan Statistical Area)",4964608,6020679,5596632,5383995,5877892,6297795,6078852,7113770,6819061,6774235,7039022,6645696,6988080,7396757,8069618,8220070,8039122,8000968,8285950,8639503,8201308,8517940
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",4524106,4570157,4733589,4919011,5050430,5224136,5265452,5574726,5515255,6172700,6517044,6244760,6172082,5978962,5711240,5828847,5939236,5878170,6049395,5967831,6322973,6411278
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",8242652,8950685,9859685,10519849,11345226,12119110,12195613,10614239,7815232,10437631,10276136,10537086,11523103,12529679,13572433,14813421,16441996,16607681,16064684,15661587,18720820,20013141
21300,"Elmira, NY (Metropolitan Statistical Area)",3275905,3283037,3338562,3436206,3501939,3465053,3562798,3769235,3744922,3879817,3972684,3982880,4012432,4011674,3880865,3789358,3691136,3741851,3743192,3525046,3632541,3638009
21340,"El Paso, TX (Metropolitan Statistical Area)",21546208,22344375,22463779,23844191,24433210,25013893,25587850,24919571,25338786,27435612,28829005,29698266,29559100,29112388,29541342,29797189,30409532,31352307,32635022,32605878,34497923,34909594
21420,"Enid, OK (Metropolitan Statistical Area)",1771703,1796882,1882984,1933053,1961842,2121421,2096693,2290124,2266582,2316838,2546516,2829109,2760523,3076434,3293618,3244115,2849100,2805923,2795832,2632022,2774090,2707603
21500,"Erie, PA (Metropolitan Statistical Area)",11145593,11002734,11124957,11451712,11969021,12152810,12578339,13192175,12022868,12349756,12878647,12534074,12729553,12083553,12099658,11792201,11500326,11600425,11677494,10980387,11164431,11189002
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",12031268,12266805,12551258,13154266,13772300,14213521,14493875,14356808,13475117,13659167,13727765,13839633,13933773,14146572,14847249,15290781,15867405,16302256,16363906,16258193,17375993,17551013
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",15630244,16495979,17186413,18223063,17730892,16787392,16618991,17368526,16741997,17275907,17434619,17063423,16405106,16212597,16355836,16686163,17861300,18372489,19411702,18468389,20100003,19588954
