"Label (Grouping)","Total"
"Mayagüez-San Germán, PR CSA",""
"    Estimate","216,453"
"    Margin of Error","±2,454"
"McAllen-Edinburg, TX CSA",""
"    Estimate","954,095"
"    Margin of Error","*****"
"Medford-Grants Pass, OR CSA",""
"    Estimate","309,374"
"    Margin of Error","*****"
"Memphis-Forrest City, TN-MS-AR CSA",""
"    Estimate","1,353,405"
"    Margin of Error","±1,706"
"Miami-Port St. Lucie-Fort Lauderdale, FL CSA",""
"    Estimate","6,909,110"
"    Margin of Error","*****"
"Midland-Odessa, TX CSA",""
"    Estimate","336,978"
"    Margin of Error","±1,430"
"Milwaukee-Racine-Waukesha, WI CSA",""
"    Estimate","2,035,084"
"    Margin of Error","*****"
"Minneapolis-St. Paul, MN-WI CSA",""
"    Estimate","4,085,415"
"    Margin of Error","*****"
"Mobile-Daphne-Fairhope, AL CSA",""
"    Estimate","675,215"
"    Margin of Error","±2,818"
"Monroe-Ruston, LA CSA",""
"    Estimate","250,998"
"    Margin of Error","*****"
"Montgomery-Selma-Alexander City, AL CSA",""
"    Estimate","476,339"
"    Margin of Error","±2,343"
"Morgantown-Fairmont, WV CSA",""
"    Estimate","196,993"
"    Margin of Error","*****"
"Moses Lake-Othello, WA CSA",""
"    Estimate","121,503"
"    Margin of Error","±2,005"
"Mount Pleasant-Alma, MI CSA",""
"    Estimate","105,547"
"    Margin of Error","*****"
"Myrtle Beach-Conway, SC-NC CSA",""
"    Estimate","600,887"
"    Margin of Error","*****"
"Nashville-Davidson--Murfreesboro, TN CSA",""
"    Estimate","2,179,958"
"    Margin of Error","±2,362"
"New Bern-Morehead City, NC CSA",""
"    Estimate","190,977"
"    Margin of Error","±2,366"
"New Orleans-Metairie-Hammond, LA-MS CSA",""
"    Estimate","1,485,510"
"    Margin of Error","*****"
"New York-Newark, NY-NJ-CT-PA CSA",""
"    Estimate","23,068,651"
"    Margin of Error","±2,101"
"North Port-Sarasota, FL CSA",""
"    Estimate","1,129,384"
"    Margin of Error","*****"
"Oklahoma City-Shawnee, OK CSA",""
"    Estimate","1,532,913"
"    Margin of Error","*****"
"Omaha-Council Bluffs-Fremont, NE-IA CSA",""
"    Estimate","1,013,872"
"    Margin of Error","±1,034"
"Orlando-Lakeland-Deltona, FL CSA",""
"    Estimate","4,428,098"
"    Margin of Error","*****"
"Paducah-Mayfield, KY-IL CSA",""
"    Estimate","135,035"
"    Margin of Error","±2,257"
"Parkersburg-Marietta-Vienna, WV-OH CSA",""
"    Estimate","148,460"
"    Margin of Error","±1,711"
"Pensacola-Ferry Pass, FL-AL CSA",""
"    Estimate","559,812"
"    Margin of Error","*****"
"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",""
"    Estimate","7,381,187"
"    Margin of Error","*****"
"Phoenix-Mesa, AZ CSA",""
"    Estimate","5,069,600"
"    Margin of Error","*****"
"Pittsburgh-New Castle-Weirton, PA-OH-WV CSA",""
"    Estimate","2,631,044"
"    Margin of Error","±2,066"
"Ponce-Yauco-Coamo, PR CSA",""
"    Estimate","350,014"
"    Margin of Error","±3,314"
"Portland-Lewiston-South Portland, ME CSA",""
"    Estimate","674,599"
"    Margin of Error","*****"
"Portland-Vancouver-Salem, OR-WA CSA",""
"    Estimate","3,285,510"
"    Margin of Error","±1,607"
"Pueblo-Cañon City, CO CSA",""
"    Estimate","219,165"
