"Geographic Area Name (Grouping)","4/1/2010 Census population!!Population","4/1/2010 population estimates base!!Population","7/1/2010 population estimate!!Population","7/1/2011 population estimate!!Population","7/1/2012 population estimate!!Population","7/1/2013 population estimate!!Population","7/1/2014 population estimate!!Population","7/1/2015 population estimate!!Population","7/1/2016 population estimate!!Population","7/1/2017 population estimate!!Population","7/1/2018 population estimate!!Population","7/1/2019 population estimate!!Population"
"Brownsville-Harlingen-Raymondville, TX CSA","428,354","428,351","429,855","435,368","438,085","439,376","440,940","441,313","443,111","443,735","443,589","444,521"
"Buffalo-Cheektowaga-Olean, NY CSA","1,215,826","1,215,951","1,215,845","1,215,377","1,213,967","1,213,970","1,213,737","1,210,928","1,207,890","1,207,058","1,206,503","1,204,100"
"Burlington-Fort Madison-Keokuk, IA-IL-MO CSA","109,761","109,748","109,659","108,875","108,607","108,036","107,376","106,789","105,901","105,039","104,416","103,775"
"Burlington-South Burlington-Barre, VT CSA","270,795","270,788","271,108","272,826","273,369","274,045","274,637","275,804","275,802","277,228","278,018","278,820"
"Cape Coral-Fort Myers-Naples, FL CSA","979,414","979,420","982,039","997,654","1,014,300","1,036,630","1,062,917","1,094,933","1,128,131","1,153,696","1,174,007","1,197,501"
"Cape Girardeau-Sikeston, MO-IL CSA","135,466","135,469","135,708","136,129","136,371","136,384","136,273","136,323","135,869","135,395","135,409","135,045"
"Cedar Rapids-Iowa City, IA CSA","410,526","410,534","411,465","416,936","420,922","424,801","429,059","433,400","437,278","442,182","444,668","446,137"
"Charleston-Huntington-Ashland, WV-OH-KY CSA","823,417","823,578","823,697","822,159","820,878","817,657","812,887","806,853","800,384","792,169","784,135","776,694"
"Charlotte-Concord, NC-SC CSA","2,402,623","2,402,581","2,408,617","2,439,202","2,476,450","2,516,166","2,558,110","2,605,370","2,657,483","2,709,012","2,752,649","2,797,636"
"Chattanooga-Cleveland-Dalton, TN-GA CSA","951,434","951,440","952,555","958,097","964,157","968,267","971,931","976,951","983,739","989,682","997,649","1,004,573"
"Chicago-Naperville, IL-IN-WI CSA","9,840,929","9,841,359","9,850,305","9,879,840","9,905,538","9,926,745","9,935,396","9,925,376","9,904,285","9,882,948","9,851,946","9,825,325"
"Cincinnati-Wilmington-Maysville, OH-KY-IN CSA","2,197,197","2,197,251","2,200,142","2,205,667","2,211,833","2,221,247","2,231,128","2,240,316","2,250,626","2,261,754","2,271,101","2,280,246"
