GeoFips,GeoName,Value
30860,"Logan, UT-ID (Metropolitan Statistical Area)",92.152
30980,"Longview, TX (Metropolitan Statistical Area)",54.887
31020,"Longview, WA (Metropolitan Statistical Area)",86.959
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",176.96
31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",77.01
31180,"Lubbock, TX (Metropolitan Statistical Area)",74.469
31340,"Lynchburg, VA (Metropolitan Statistical Area)",65.197
31420,"Macon-Bibb County, GA (Metropolitan Statistical Area)",61.657
31460,"Madera, CA (Metropolitan Statistical Area)",84.46
31540,"Madison, WI (Metropolitan Statistical Area)",98.98
31700,"Manchester-Nashua, NH (Metropolitan Statistical Area)",132.482
31740,"Manhattan, KS (Metropolitan Statistical Area)",70.937
31860,"Mankato, MN (Metropolitan Statistical Area)",72.046
31900,"Mansfield, OH (Metropolitan Statistical Area)",58.488
32580,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",57.644
32780,"Medford, OR (Metropolitan Statistical Area)",105.729
32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",76.615
32900,"Merced, CA (Metropolitan Statistical Area)",84.111
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",147.331
33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",55.983
33220,"Midland, MI (Metropolitan Statistical Area)",53.27
33260,"Midland, TX (Metropolitan Statistical Area)",101.26
33340,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",95.665
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",119.175
33540,"Missoula, MT (Metropolitan Statistical Area)",72.452
33660,"Mobile, AL (Metropolitan Statistical Area)",56.72
33700,"Modesto, CA (Metropolitan Statistical Area)",101.596
33740,"Monroe, LA (Metropolitan Statistical Area)",50.522
33780,"Monroe, MI (Metropolitan Statistical Area)",80.673
33860,"Montgomery, AL (Metropolitan Statistical Area)",65.397
34060,"Morgantown, WV (Metropolitan Statistical Area)",69.192
34100,"Morristown, TN (Metropolitan Statistical Area)",57.402
34580,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",109.249
34620,"Muncie, IN (Metropolitan Statistical Area)",57.215
34740,"Muskegon, MI (Metropolitan Statistical Area)",76.219
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",83.854
34900,"Napa, CA (Metropolitan Statistical Area)",161.471
34940,"Naples-Marco Island, FL (Metropolitan Statistical Area)",129.393
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",105.845
35100,"New Bern, NC (Metropolitan Statistical Area)",67.238
35300,"New Haven-Milford, CT (Metropolitan Statistical Area)",110.752
35380,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",83.636
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",154.156
35660,"Niles, MI (Metropolitan Statistical Area)",58.107
35840,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",123.241
35980,"Norwich-New London, CT (Metropolitan Statistical Area)",101.326
36100,"Ocala, FL (Metropolitan Statistical Area)",78.892
36140,"Ocean City, NJ (Metropolitan Statistical Area)",122.448
36220,"Odessa, TX (Metropolitan Statistical Area)",88.271
36260,"Ogden-Clearfield, UT (Metropolitan Statistical Area)",103.314
36420,"Oklahoma City, OK (Metropolitan Statistical Area)",74.531
36500,"Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",120.262
36540,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",87.236
36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",118.581
36780,"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",72.724
36980,"Owensboro, KY (Metropolitan Statistical Area)",56.597
37100,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",174.868
