"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
Metropolitan Statistical Area
GeoFips,GeoName,2013-2023
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",4.1
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",3.6
16620,"Charleston, WV (Metropolitan Statistical Area)",3.9
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",5.3
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",5.2
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",6.0
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",4.3
16940,"Cheyenne, WY (Metropolitan Statistical Area)",3.1
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",4.6
17020,"Chico, CA (Metropolitan Statistical Area)",4.9
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",4.5
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",3.1
17420,"Cleveland, TN (Metropolitan Statistical Area)",3.7
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",4.3
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",5.8
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",4.1
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",4.8
17860,"Columbia, MO (Metropolitan Statistical Area)",4.0
17900,"Columbia, SC (Metropolitan Statistical Area)",4.4
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",4.0
18020,"Columbus, IN (Metropolitan Statistical Area)",4.3
18140,"Columbus, OH (Metropolitan Statistical Area)",4.1
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",2.9
18700,"Corvallis, OR (Metropolitan Statistical Area)",4.9
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",5.0
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",4.0
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",4.5
19140,"Dalton, GA (Metropolitan Statistical Area)",4.6
19180,"Danville, IL (Metropolitan Statistical Area)",3.9
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",4.7
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",3.4
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",4.2
19460,"Decatur, AL (Metropolitan Statistical Area)",3.9
19500,"Decatur, IL (Metropolitan Statistical Area)",3.6
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",4.8
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",5.6
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",4.2
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",4.5
20020,"Dothan, AL (Metropolitan Statistical Area)",4.1
20100,"Dover, DE (Metropolitan Statistical Area)",3.7
20220,"Dubuque, IA (Metropolitan Statistical Area)",4.5
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",4.0
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",4.8
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",4.3
20740,"Eau Claire, WI (Metropolitan Statistical Area)",4.0
20940,"El Centro, CA (Metropolitan Statistical Area)",3.9
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",4.3
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",5.1
21300,"Elmira, NY (Metropolitan Statistical Area)",3.6
21340,"El Paso, TX (Metropolitan Statistical Area)",4.4
21420,"Enid, OK (Metropolitan Statistical Area)",1.8
21500,"Erie, PA (Metropolitan Statistical Area)",3.8
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",5.6
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",4.4
21820,"Fairbanks, AK (Metropolitan Statistical Area)",3.6
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",3.8
22140,"Farmington, NM (Metropolitan Statistical Area)",3.6
22180,"Fayetteville, NC (Metropolitan Statistical Area)",3.9
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",6.3
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",4.9
22420,"Flint, MI (Metropolitan Statistical Area)",4.5
22500,"Florence, SC (Metropolitan Statistical Area)",4.6
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",3.8
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",4.2
22660,"Fort Collins, CO (Metropolitan Statistical Area)",5.4
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",3.6
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",4.7
23420,"Fresno, CA (Metropolitan Statistical Area)",4.4
23460,"Gadsden, AL (Metropolitan Statistical Area)",3.8
23540,"Gainesville, FL (Metropolitan Statistical Area)",4.5
23580,"Gainesville, GA (Metropolitan Statistical Area)",5.7
23900,"Gettysburg, PA (Metropolitan Statistical Area)",3.8
24020,"Glens Falls, NY (Metropolitan Statistical Area)",4.2
24140,"Goldsboro, NC (Metropolitan Statistical Area)",4.2
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",3.6
24260,"Grand Island, NE (Metropolitan Statistical Area)",4.6
24300,"Grand Junction, CO (Metropolitan Statistical Area)",4.4
24340,"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",4.7
24420,"Grants Pass, OR (Metropolitan Statistical Area)",5.4
24500,"Great Falls, MT (Metropolitan Statistical Area)",4.4
24540,"Greeley, CO (Metropolitan Statistical Area) *",4.9
24580,"Green Bay, WI (Metropolitan Statistical Area)",3.9
24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",4.5
24780,"Greenville, NC (Metropolitan Statistical Area)",4.8
24860,"Greenville-Anderson, SC (Metropolitan Statistical Area)",4.4
25060,"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",3.6
