"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
Metropolitan Statistical Area
GeoFips,GeoName,1993-2023
31420,"Macon-Bibb County, GA (Metropolitan Statistical Area)",3.2
31460,"Madera, CA (Metropolitan Statistical Area)",3.6
31540,"Madison, WI (Metropolitan Statistical Area)",3.9
31700,"Manchester-Nashua, NH (Metropolitan Statistical Area)",4.0
31740,"Manhattan, KS (Metropolitan Statistical Area)",3.9
31860,"Mankato, MN (Metropolitan Statistical Area)",3.8
31900,"Mansfield, OH (Metropolitan Statistical Area)",3.3
32580,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",3.9
32780,"Medford, OR (Metropolitan Statistical Area)",4.1
32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",3.6
32900,"Merced, CA (Metropolitan Statistical Area)",3.5
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",4.2
33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",3.6
33220,"Midland, MI (Metropolitan Statistical Area)",3.3
33260,"Midland, TX (Metropolitan Statistical Area)",6.2
33340,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",3.8
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",3.9
33540,"Missoula, MT (Metropolitan Statistical Area)",4.5
33660,"Mobile, AL (Metropolitan Statistical Area)",3.7
33700,"Modesto, CA (Metropolitan Statistical Area)",3.7
33740,"Monroe, LA (Metropolitan Statistical Area)",3.7
33780,"Monroe, MI (Metropolitan Statistical Area)",3.7
33860,"Montgomery, AL (Metropolitan Statistical Area)",3.4
34060,"Morgantown, WV (Metropolitan Statistical Area)",3.9
34100,"Morristown, TN (Metropolitan Statistical Area)",3.6
34580,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",4.1
34620,"Muncie, IN (Metropolitan Statistical Area)",3.2
34740,"Muskegon, MI (Metropolitan Statistical Area)",3.6
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",3.9
34900,"Napa, CA (Metropolitan Statistical Area)",4.5
34940,"Naples-Marco Island, FL (Metropolitan Statistical Area)",5.0
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",4.4
35100,"New Bern, NC (Metropolitan Statistical Area)",3.8
35300,"New Haven-Milford, CT (Metropolitan Statistical Area)",3.3
35380,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",4.1
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",4.0
35660,"Niles, MI (Metropolitan Statistical Area)",3.9
35840,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",3.6
35980,"Norwich-New London, CT (Metropolitan Statistical Area)",3.5
36100,"Ocala, FL (Metropolitan Statistical Area)",3.4
36140,"Ocean City, NJ (Metropolitan Statistical Area)",4.1
36220,"Odessa, TX (Metropolitan Statistical Area)",4.5
36260,"Ogden-Clearfield, UT (Metropolitan Statistical Area)",4.1
36420,"Oklahoma City, OK (Metropolitan Statistical Area)",4.1
36500,"Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",3.6
36540,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",4.1
36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",3.6
36780,"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",3.6
36980,"Owensboro, KY (Metropolitan Statistical Area)",3.7
37100,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",3.9
37340,"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",3.7
37460,"Panama City, FL (Metropolitan Statistical Area)",3.7
37620,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",3.9
37860,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",3.8
37900,"Peoria, IL (Metropolitan Statistical Area)",3.8
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",3.9
38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",4.0
38220,"Pine Bluff, AR (Metropolitan Statistical Area)",3.4
38300,"Pittsburgh, PA (Metropolitan Statistical Area)",4.0
38340,"Pittsfield, MA (Metropolitan Statistical Area)",4.1
38540,"Pocatello, ID (Metropolitan Statistical Area)",3.6
38860,"Portland-South Portland, ME (Metropolitan Statistical Area)",4.3
38900,"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",4.1
38940,"Port St. Lucie, FL (Metropolitan Statistical Area)",4.0
39100,"Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area)",3.6
39150,"Prescott Valley-Prescott, AZ (Metropolitan Statistical Area)",4.1
39300,"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",3.9
39340,"Provo-Orem, UT (Metropolitan Statistical Area)",4.8
39380,"Pueblo, CO (Metropolitan Statistical Area)",3.6
39460,"Punta Gorda, FL (Metropolitan Statistical Area)",3.6
39540,"Racine, WI (Metropolitan Statistical Area)",3.5
39580,"Raleigh-Cary, NC (Metropolitan Statistical Area)",3.9
39660,"Rapid City, SD (Metropolitan Statistical Area)",4.4
39740,"Reading, PA (Metropolitan Statistical Area)",3.4
39820,"Redding, CA (Metropolitan Statistical Area)",3.8
39900,"Reno, NV (Metropolitan Statistical Area)",3.9
40060,"Richmond, VA (Metropolitan Statistical Area) *",3.8
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",3.6
40220,"Roanoke, VA (Metropolitan Statistical Area) *",3.6
40340,"Rochester, MN (Metropolitan Statistical Area)",4.0
40380,"Rochester, NY (Metropolitan Statistical Area)",3.4
40420,"Rockford, IL (Metropolitan Statistical Area)",3.3
40580,"Rocky Mount, NC (Metropolitan Statistical Area)",3.5
40660,"Rome, GA (Metropolitan Statistical Area)",3.1
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",3.9
40980,"Saginaw, MI (Metropolitan Statistical Area)",3.3
41060,"St. Cloud, MN (Metropolitan Statistical Area)",4.3
41100,"St. George, UT (Metropolitan Statistical Area)",4.4
41140,"St. Joseph, MO-KS (Metropolitan Statistical Area)",3.7
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",4.1
41420,"Salem, OR (Metropolitan Statistical Area)",3.8
41500,"Salinas, CA (Metropolitan Statistical Area)",3.8
41540,"Salisbury, MD-DE (Metropolitan Statistical Area)",4.1
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",4.5
41660,"San Angelo, TX (Metropolitan Statistical Area)",4.4
41700,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",3.9
41740,"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",4.2
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",5.1
41940,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",5.7
42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",4.5
42100,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",4.4
42140,"Santa Fe, NM (Metropolitan Statistical Area)",4.2
42200,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",4.1
42220,"Santa Rosa-Petaluma, CA (Metropolitan Statistical Area)",4.2
42340,"Savannah, GA (Metropolitan Statistical Area)",3.6
42540,"Scranton--Wilkes-Barre, PA (Metropolitan Statistical Area)",3.6
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",4.6
42680,"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",4.6
42700,"Sebring-Avon Park, FL (Metropolitan Statistical Area)",3.2
43100,"Sheboygan, WI (Metropolitan Statistical Area)",3.7
43300,"Sherman-Denison, TX (Metropolitan Statistical Area)",4.0
43340,"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",3.9
43420,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",4.0
43580,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",4.2
43620,"Sioux Falls, SD (Metropolitan Statistical Area)",4.4
43780,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",3.6
43900,"Spartanburg, SC (Metropolitan Statistical Area)",3.6
44060,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",3.7
44100,"Springfield, IL (Metropolitan Statistical Area)",3.3
44140,"Springfield, MA (Metropolitan Statistical Area)",3.9
44180,"Springfield, MO (Metropolitan Statistical Area)",3.6
44220,"Springfield, OH (Metropolitan Statistical Area)",3.3
44300,"State College, PA (Metropolitan Statistical Area)",3.9
44420,"Staunton, VA (Metropolitan Statistical Area) *",3.7
44700,"Stockton, CA (Metropolitan Statistical Area)",3.9
44940,"Sumter, SC (Metropolitan Statistical Area)",4.1
45060,"Syracuse, NY (Metropolitan Statistical Area)",3.6
45220,"Tallahassee, FL (Metropolitan Statistical Area)",3.6
45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",3.8
45460,"Terre Haute, IN (Metropolitan Statistical Area)",3.4
45500,"Texarkana, TX-AR (Metropolitan Statistical Area)",3.6
45540,"The Villages, FL (Metropolitan Statistical Area)",5.7
45780,"Toledo, OH (Metropolitan Statistical Area)",3.5
45820,"Topeka, KS (Metropolitan Statistical Area)",3.5
45940,"Trenton-Princeton, NJ (Metropolitan Statistical Area)",3.6
46060,"Tucson, AZ (Metropolitan Statistical Area)",3.9
46140,"Tulsa, OK (Metropolitan Statistical Area)",4.2
46220,"Tuscaloosa, AL (Metropolitan Statistical Area)",3.2
46300,"Twin Falls, ID (Metropolitan Statistical Area)",3.6
46340,"Tyler, TX (Metropolitan Statistical Area)",4.3
46520,"Urban Honolulu, HI (Metropolitan Statistical Area)",3.2
46540,"Utica-Rome, NY (Metropolitan Statistical Area)",3.6
46660,"Valdosta, GA (Metropolitan Statistical Area)",3.4
46700,"Vallejo, CA (Metropolitan Statistical Area)",3.8
47020,"Victoria, TX (Metropolitan Statistical Area)",3.8
47220,"Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",3.1
47260,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area) *",3.7
47300,"Visalia, CA (Metropolitan Statistical Area)",3.7
47380,"Waco, TX (Metropolitan Statistical Area)",3.9
47460,"Walla Walla, WA (Metropolitan Statistical Area)",3.9
47580,"Warner Robins, GA (Metropolitan Statistical Area)",3.2
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area) *",3.7
47940,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",3.8
48060,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)",3.8
48140,"Wausau-Weston, WI (Metropolitan Statistical Area)",4.0
48260,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",3.7
48300,"Wenatchee, WA (Metropolitan Statistical Area)",3.9
48540,"Wheeling, WV-OH (Metropolitan Statistical Area)",4.0
48620,"Wichita, KS (Metropolitan Statistical Area)",3.5
48660,"Wichita Falls, TX (Metropolitan Statistical Area)",3.7
48700,"Williamsport, PA (Metropolitan Statistical Area)",3.7
48900,"Wilmington, NC (Metropolitan Statistical Area)",3.9
49020,"Winchester, VA-WV (Metropolitan Statistical Area) *",4.2
49180,"Winston-Salem, NC (Metropolitan Statistical Area)",3.3
49340,"Worcester, MA-CT (Metropolitan Statistical Area)",3.8
49420,"Yakima, WA (Metropolitan Statistical Area)",3.5
49620,"York-Hanover, PA (Metropolitan Statistical Area)",3.4
49660,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)",3.4
49700,"Yuba City, CA (Metropolitan Statistical Area)",3.7
49740,"Yuma, AZ (Metropolitan Statistical Area) *",3.7

Legend/Footnotes
